mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batchSize,param_learningRate,param_nb_epoch,param_neuronArchitecture,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
10.559371789296469,3.210210094105549,0.03167422612508138,0.002495446956840909,81,0.03859925930841978,150,"[11, 10]","{'batchSize': 81, 'learningRate': 0.03859925930841978, 'nb_epoch': 150, 'neuronArchitecture': [11, 10]}",-70907.93284162166,-69810.02407701737,-71391.16726027803,-70703.04139297234,661.558171183821,25,-69050.8283670491,-71093.41999014304,-71411.10771673823,-70518.45202464347,1045.8396222351032
9.404950618743896,2.4457120906359333,0.03000950813293457,0.0029463257581717425,81,0.03859925930841978,150,"[10, 8]","{'batchSize': 81, 'learningRate': 0.03859925930841978, 'nb_epoch': 150, 'neuronArchitecture': [10, 8]}",-72672.52748054704,-68342.27136811372,-71664.77312777861,-70893.19065881312,1850.0962370694263,29,-71052.25684128072,-69370.87665444471,-71718.58645519322,-70713.9066503062,987.8582779366702
10.533193747202555,0.7904055930349885,0.03167891502380371,0.003772817302601118,81,0.03859925930841978,150,"[12, 10]","{'batchSize': 81, 'learningRate': 0.03859925930841978, 'nb_epoch': 150, 'neuronArchitecture': [12, 10]}",-72255.87540704531,-68196.97952013703,-70622.93946047884,-70358.5981292204,1667.5463431339,18,-70583.31599463984,-69361.75332519246,-70800.77257022823,-70248.61396335352,633.3578157756881
10.711612065633139,2.04212044107575,0.029513835906982422,0.0008690814083423459,81,0.03859925930841978,150,"[10, 9]","{'batchSize': 81, 'learningRate': 0.03859925930841978, 'nb_epoch': 150, 'neuronArchitecture': [10, 9]}",-71426.18249371993,-70051.25460534926,-70460.59506675725,-70646.01072194213,576.4205053289899,22,-69639.72907495846,-71261.83544905116,-70578.40442377924,-70493.32298259629,664.9493268630129
11.192577282587687,1.2952553910652636,0.030108133951822918,0.0048869950956586215,81,0.07261032139183789,150,"[11, 10]","{'batchSize': 81, 'learningRate': 0.07261032139183789, 'nb_epoch': 150, 'neuronArchitecture': [11, 10]}",-71404.66079052354,-66778.95890652107,-69954.15064020222,-69379.25677908228,1931.6929869212381,10,-69247.45229542266,-67715.87365910268,-70222.05866885159,-69061.79487445897,1031.5335942959548
13.627891143163046,5.290632452732879,0.028111775716145832,0.0006845875075940298,81,0.07261032139183789,150,"[10, 8]","{'batchSize': 81, 'learningRate': 0.07261032139183789, 'nb_epoch': 150, 'neuronArchitecture': [10, 8]}",-69280.64358996469,-66364.53026699674,-71959.41809391894,-69201.53065029345,2284.7883332857677,8,-67220.77133320323,-67319.17086097453,-71896.83556748272,-68812.25925388683,2181.4947310753128
12.681856155395508,3.111168000108081,0.03093854586283366,0.000830143600177431,81,0.07261032139183789,150,"[12, 10]","{'batchSize': 81, 'learningRate': 0.07261032139183789, 'nb_epoch': 150, 'neuronArchitecture': [12, 10]}",-69114.99244770386,-68249.12578680155,-66336.91884456945,-67900.34569302495,1160.6489281056427,1,-66979.59289587516,-69423.07241176626,-67305.67811390472,-67902.78114051539,1083.2196005229218
10.435609022776285,2.27675323940066,0.027779420216878254,0.0015401771850027436,81,0.07261032139183789,150,"[10, 9]","{'batchSize': 81, 'learningRate': 0.07261032139183789, 'nb_epoch': 150, 'neuronArchitecture': [10, 9]}",-71251.57002227966,-68115.13390015424,-68257.7682471707,-69208.1573898682,1446.083798623316,9,-69406.5612365652,-69152.91409735336,-69243.77096198506,-69267.7487653012,104.9298784791968
11.947937806447348,0.8260770292320393,0.030388832092285156,0.0008758119501563299,81,0.018281914050446196,150,"[11, 10]","{'batchSize': 81, 'learningRate': 0.018281914050446196, 'nb_epoch': 150, 'neuronArchitecture': [11, 10]}",-73088.75023777112,-70257.79274702523,-71872.63219586606,-71739.7250602208,1159.5482765949946,55,-71486.32822837909,-71614.30326657453,-71834.21930406027,-71644.95026633797,143.66971167815788
12.389080921808878,0.6095824478143315,0.028339227040608723,0.0034005184411289064,81,0.018281914050446196,150,"[10, 8]","{'batchSize': 81, 'learningRate': 0.018281914050446196, 'nb_epoch': 150, 'neuronArchitecture': [10, 8]}",-73161.17369555029,-70345.60445655939,-72043.1360422766,-71849.97139812876,1157.5381835889225,60,-71547.67628222489,-71621.98671603242,-72037.07693015384,-71735.57997613704,215.33821476028174
11.305877049763998,0.06644638819192333,0.02850651741027832,0.0006282104708938398,81,0.018281914050446196,150,"[12, 10]","{'batchSize': 81, 'learningRate': 0.018281914050446196, 'nb_epoch': 150, 'neuronArchitecture': [12, 10]}",-72944.18242459121,-70147.6191818923,-71911.95184580468,-71667.9178174294,1154.658953358804,49,-71325.65097200056,-71459.82407939906,-71837.47348984989,-71540.98284708317,216.68815015040946
13.21906574567159,0.48668383781879976,0.030341466267903645,0.002054952442097168,81,0.018281914050446196,150,"[10, 9]","{'batchSize': 81, 'learningRate': 0.018281914050446196, 'nb_epoch': 150, 'neuronArchitecture': [10, 9]}",-72555.70664707026,-70746.72738449213,-71746.98333855774,-71683.13912337337,739.8912334340348,51,-70871.98728674957,-72097.09084321505,-71891.81145531952,-71620.29652842805,535.7299989483196
