mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batchSize,param_learningRate,param_nb_epoch,param_neuronArchitecture,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.3098142941792805,0.05583089793096984,0.015972375869750977,0.0021497910441417626,64,0.001,150,[9],"{'batchSize': 64, 'learningRate': 0.001, 'nb_epoch': 150, 'neuronArchitecture': [9]}",-238014.4025711558,-237364.8731922648,-236887.02618240903,-237422.1006486099,462.02497536801985,28,-237132.5790576213,-237436.0461724055,-237698.77635650893,-237422.4671955119,231.34841945576005
1.5504577159881592,0.01784690562624292,0.020287752151489258,0.0032672245490703083,64,0.001,150,"[9, 9]","{'batchSize': 64, 'learningRate': 0.001, 'nb_epoch': 150, 'neuronArchitecture': [9, 9]}",-237956.25734084955,-237175.98648791236,-236819.26187838797,-237317.16856904994,474.79044882299564,24,-237074.48934187915,-237247.03332352024,-237630.8725793198,-237317.4650815731,232.53824220694972
1.7991608778635662,0.05184130055902838,0.01765584945678711,0.0021133362870268966,64,0.001,150,"[9, 9, 9]","{'batchSize': 64, 'learningRate': 0.001, 'nb_epoch': 150, 'neuronArchitecture': [9, 9, 9]}",-237376.205296239,-236426.10212087096,-236157.951951621,-236653.419789577,522.6791844574693,21,-236494.69301004245,-236496.73170203474,-236969.65705210238,-236653.69392139316,223.42122256987284
29.1744970480601,0.09964244660771657,0.016354163487752277,0.0018744025966063512,64,0.01,150,[9],"{'batchSize': 64, 'learningRate': 0.01, 'nb_epoch': 150, 'neuronArchitecture': [9]}",-89176.55669816397,-91176.0426762247,-91143.68631836933,-90498.761897586,935.0335735531643,19,-88753.66338757926,-89912.45219071153,-92489.26511919142,-90385.12689916074,1561.2486689210439
13.529551903406778,0.7440065067187089,0.018032073974609375,0.0013647087381735159,64,0.01,150,"[9, 9]","{'batchSize': 64, 'learningRate': 0.01, 'nb_epoch': 150, 'neuronArchitecture': [9, 9]}",-72708.72581650795,-74007.80202083623,-70397.6760111307,-72371.40128282497,1493.0044278247447,10,-71922.71535575288,-71513.53660536594,-73459.94999093164,-72298.73398401683,837.9235340922429
9.721215407053629,0.7620139119961443,0.017867167790730793,0.0012135555535367887,64,0.01,150,"[9, 9, 9]","{'batchSize': 64, 'learningRate': 0.01, 'nb_epoch': 150, 'neuronArchitecture': [9, 9, 9]}",-72028.18457373163,-73128.58883723381,-69159.71166986752,-71438.82836027765,1673.0216281054597,6,-71229.8824577588,-70641.10871940343,-72216.90601305485,-71362.63239673902,650.1288012869553
10.903262694676718,0.999163351971158,0.017732699712117512,0.0009313052148260682,64,0.1,150,[9],"{'batchSize': 64, 'learningRate': 0.1, 'nb_epoch': 150, 'neuronArchitecture': [9]}",-72856.46331883507,-73939.31666682225,-70476.23915789307,-72424.00638118346,1446.487863851623,11,-72178.07204353144,-71532.10600876137,-73475.68985189646,-72395.28930139642,808.1943007551769
8.625288248062134,1.1331128376348922,0.018541971842447918,0.002876211357650432,64,0.1,150,"[9, 9]","{'batchSize': 64, 'learningRate': 0.1, 'nb_epoch': 150, 'neuronArchitecture': [9, 9]}",-69454.29173400445,-68816.91339646309,-67784.08488060324,-68685.09667035693,688.2002955768522,1,-68126.28174028594,-66723.25649439952,-71057.86843903144,-68635.8022245723,1805.9020867822983
7.300437847773234,0.5801945019361371,0.01633477210998535,0.0012473199832440886,64,0.1,150,"[9, 9, 9]","{'batchSize': 64, 'learningRate': 0.1, 'nb_epoch': 150, 'neuronArchitecture': [9, 9, 9]}",-69823.44681357585,-69800.38132600859,-66470.6581477843,-68698.16209578958,1575.111294049516,2,-67895.51836020086,-68129.35705460334,-69828.04708941154,-68617.64083473857,861.1939811538901
0.7663609981536865,0.022094425682372174,0.015263080596923828,0.0005317976867700322,128,0.001,150,[9],"{'batchSize': 128, 'learningRate': 0.001, 'nb_epoch': 150, 'neuronArchitecture': [9]}",-238025.26773004435,-237390.22244616496,-236896.90607061525,-237437.46541560817,461.8614021823394,32,-237143.46221849465,-237461.39679155164,-237708.64884152875,-237437.835950525,231.3371488204795
0.9157725175221761,0.007632873175069068,0.016400257746378582,0.0012391127791882835,128,0.001,150,"[9, 9]","{'batchSize': 128, 'learningRate': 0.001, 'nb_epoch': 150, 'neuronArchitecture': [9, 9]}",-238017.06469589018,-237381.5770979814,-236880.8826671277,-237426.50815366642,464.93117802131366,29,-237135.26293028198,-237452.76278833314,-237692.59162318762,-237426.8724472676,228.2638098112853
1.058129072189331,0.017770809605349887,0.015694538752237957,0.0009766830470930895,128,0.001,150,"[9, 9, 9]","{'batchSize': 128, 'learningRate': 0.001, 'nb_epoch': 150, 'neuronArchitecture': [9, 9, 9]}",-237920.27709705126,-237303.5696809543,-236731.48691425088,-237318.44456408548,485.4355235536887,25,-237038.57118116022,-237374.623323568,-237543.30658301243,-237318.83369591355,209.7996161199101
0.7808922926584879,0.04529699927686562,0.017009814580281574,0.0008085695210992556,128,0.01,150,[9],"{'batchSize': 128, 'learningRate': 0.01, 'nb_epoch': 150, 'neuronArchitecture': [9]}",-237608.1311290429,-236921.59027384757,-236500.31730894715,-237010.01290394587,456.5645526712885,22,-236726.61214814297,-236992.64230779465,-237311.96886990944,-237010.40777528237,239.3008313198945
